id,seating_order,name,name_en
1,1,天魁星,Leader Star
2,2,天罡星,Strength Star
3,3,天機星,Knowledge Star
4,4,天間星,Leisure Star
5,5,天勇星,Brave Star
6,6,天雄星,Majestic Star
7,7,天猛星,Fierce Star
8,8,天威星,Prestige Star
9,9,天英星,Hero Star
10,10,天貴星,Noble Star
11,11,天富星,Wealth Star
12,12,天満星,Fulfillment Star
13,13,天孤星,Solitary Star
14,14,天傷星,Harm Star
15,15,天立星,Steadfast Star
16,16,天捷星,Agile Star
17,17,天暗星,Dark Star
18,18,天祐星,Guardian Star
19,19,天空星,Flight Star
20,20,天速星,Speed Star
21,21,天異星,Deviance Star
22,22,天殺星,Killer Star
23,23,天微星,Minute Star
24,24,天究星,Investigative Star
25,25,天退星,Retreat Star
26,26,天寿星,Longevity Star
27,27,天剣星,Sword Star
28,28,天平星,Balance Star
29,29,天罪星,Guilt Star
30,30,天損星,Damage Star
31,31,天敗星,Defeat Star
32,32,天牢星,Secure Star
33,33,天慧星,Wisdom Star
34,34,天暴星,Savage Star
35,35,天哭星,Crying Star
36,36,天巧星,Skilful Star
37,37,地魁星,Leader Star
38,38,地煞星,Malignant Star
39,39,地勇星,Brave Star
40,40,地傑星,Prominence Star
41,41,地雄星,Magnificent Star
42,42,地威星,Majestic Star
43,43,地英星,Hero Star
44,44,地奇星,Unique Star
45,45,地猛星,Fierce Star
46,46,地文星,Literature Star
47,47,地正星,Upright Star
48,48,地闊星,Wide Star
49,49,地闘星,Whole Star
50,50,地強星,Strong Star
51,51,地暗星,Dark Star
52,52,地軸星,Assist Star
53,53,地会星,Meet Star
54,54,地佐星,Aid Star
55,55,地祐星,Help Star
56,56,地霊星,Efficacious Star
57,57,地獣星,Beast Star
58,58,地微星,Minute Star
59,59,地慧星,Bright Star
60,60,地暴星,Savage Star
61,61,地然星,Correct Star
62,62,地猖星,Wild Star
63,63,地狂星,Crazy Star
64,64,地飛星,Flying Star
65,65,地走星,Walking Star
66,66,地巧星,Skilful Star
67,67,地明星,Bright Star
68,68,地進星,Forward Star
69,69,地退星,Retreating Star
70,70,地満星,Full Star
71,71,地遂星,Succeed Star
72,72,地周星,Complete Star
73,73,地隠星,Latent Star
74,74,地異星,Different Star
75,75,地理星,Manage Star
76,76,地俊星,Handsome Star
77,77,地楽星,Music Star
78,78,地捷星,Victorious Star
79,79,地速星,Speed Star
80,80,地鎮星,Guardian Star
81,81,地稽星,Ji Star
82,82,地魔星,Devil Star
83,83,地妖星,Demon Star
84,84,地幽星,Tranquil Star
85,85,地伏星,Concealment Star
86,86,地僻星,Remote Star
87,87,地空星,Empty Star
88,88,地孤星,Solitary Star
89,89,地全星,Complete Star
90,90,地短星,Short Star
91,91,地角星,Horn Star
92,92,地囚星,Prisoner Star
93,93,地蔵星,Hidden Star
94,94,地平星,Level Star
95,95,地損星,Harm Star
96,96,地奴星,Slave Star
97,97,地察星,Detective Star
98,98,地悪星,Evil Star
99,99,地醜星,Ugly Star
100,100,地数星,Number Star
101,101,地陰星,Yin Star
102,102,地刑星,Execute Star
103,103,地壮星,Strong Star
104,104,地劣星,Inferior Star
105,105,地健星,Healthy Star
106,106,地耗星,Rat Star
107,107,地賊星,Thief Star
108,108,地狗星,Hound Star
